,Domain,Type,TLD Manager
1298,.tv,country-code,Ministry of Finance and Tourism
1299,.tvs,generic,T V SUNDRAM IYENGAR & SONS PRIVATE LIMITED
1300,.tw,country-code,Taiwan Network Information Center (TWNIC)
1301,.tz,country-code,Tanzania Communications Regulatory Authority
1302,.ua,country-code,Hostmaster Ltd.
1303,.ubank,generic,National Australia Bank Limited
1304,.ubs,generic,UBS AG
1305,.uconnect,generic,Not assigned
1306,.ug,country-code,Uganda Online Ltd.
1307,.uk,country-code,Nominet UK
1308,.um,country-code,Not assigned
1309,.unicom,generic,China United Network Communications Corporation Limited
1310,.university,generic,"Binky Moon, LLC"
1311,.uno,generic,Radix FZC
1312,.uol,generic,UBN INTERNET LTDA.
1313,.ups,generic,"UPS Market Driver, Inc."
1314,.us,country-code,"Registry Services, LLC"
1315,.uy,country-code,SeCIU - Universidad de la Republica
1316,.uz,country-code,Single Integrator for Creation and Support of State Information Systems UZINFOCOM
1317,.va,country-code,Holy See - Vatican City State
1318,.vacations,generic,"Binky Moon, LLC"
1319,.vana,generic,"Lifestyle Domain Holdings, Inc."
1320,.vanguard,generic,"The Vanguard Group, Inc."
1321,.vc,country-code,"Ministry of Telecommunications, Science, Technology and Industry"
1322,.ve,country-code,Comisión Nacional de Telecomunicaciones (CONATEL)
1323,.vegas,generic,"Dot Vegas, Inc."
1324,.ventures,generic,"Binky Moon, LLC"
1325,.verisign,generic,"VeriSign, Inc."
1326,.versicherung,generic,TLD-BOX Registrydienstleistungen GmbH
1327,.vet,generic,"Dog Beach, LLC"
1328,.vg,country-code,Telecommunications Regulatory Commission of the Virgin Islands
1329,.vi,country-code,"Virgin Islands Public Telecommunications System, Inc."
1330,.viajes,generic,"Binky Moon, LLC"
1331,.video,generic,"Dog Beach, LLC"
1332,.vig,generic,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
1333,.viking,generic,Viking River Cruises (Bermuda) Ltd.
1334,.villas,generic,"Binky Moon, LLC"
1335,.vin,generic,"Binky Moon, LLC"
1336,.vip,generic,"Registry Services, LLC"
1337,.virgin,generic,Virgin Enterprises Limited
1338,.visa,generic,Visa Worldwide Pte. Limited
1339,.vision,generic,"Binky Moon, LLC"
1340,.vista,generic,Not assigned
1341,.vistaprint,generic,Not assigned
1342,.viva,generic,Saudi Telecom Company
1343,.vivo,generic,Telefonica Brasil S.A.
1344,.vlaanderen,generic,DNS.be vzw
1345,.vn,country-code,Viet Nam Internet Network Information Center (VNNIC)
1346,.vodka,generic,"Registry Services, LLC"
1347,.volkswagen,generic,Volkswagen Group of America Inc.
1348,.volvo,generic,Volvo Holding Sverige Aktiebolag
1349,.vote,generic,Monolith Registry LLC
1350,.voting,generic,Valuetainment Corp.
1351,.voto,generic,Monolith Registry LLC
1352,.voyage,generic,"Binky Moon, LLC"
1353,.vu,country-code,Telecommunications Radiocommunications and Broadcasting Regulator (TRBR)
1354,.vuelos,generic,Travel Reservations SRL
1355,.wales,generic,Nominet UK
1356,.walmart,generic,"Wal-Mart Stores, Inc."
1357,.walter,generic,Sandvik AB
1358,.wang,generic,Zodiac Wang Limited
1359,.wanggou,generic,"Amazon Registry Services, Inc."
1360,.warman,generic,Not assigned
1361,.watch,generic,"Binky Moon, LLC"
1362,.watches,generic,Afilias Limited
1363,.weather,generic,International Business Machines Corporation
1364,.weatherchannel,generic,International Business Machines Corporation
1365,.webcam,generic,dot Webcam Limited
1366,.weber,generic,Saint-Gobain Weber SA
1367,.website,generic,Radix FZC
1368,.wed,generic,Emergency Back-End Registry Operator Program - ICANN
1369,.wedding,generic,"Registry Services, LLC"
1370,.weibo,generic,Sina Corporation
1371,.weir,generic,Weir Group IP Limited
1372,.wf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1373,.whoswho,generic,Who's Who Registry
1374,.wien,generic,punkt.wien GmbH
1375,.wiki,generic,"Top Level Design, LLC"
1376,.williamhill,generic,William Hill Organization Limited
1377,.win,generic,First Registry Limited
1378,.windows,generic,Microsoft Corporation
1379,.wine,generic,"Binky Moon, LLC"
1380,.winners,generic,"The TJX Companies, Inc."
1381,.wme,generic,"William Morris Endeavor Entertainment, LLC"
1382,.wolterskluwer,generic,Wolters Kluwer N.V.
1383,.woodside,generic,Woodside Petroleum Limited
1384,.work,generic,"Registry Services, LLC"
1385,.works,generic,"Binky Moon, LLC"
1386,.world,generic,"Binky Moon, LLC"
1387,.wow,generic,"Amazon Registry Services, Inc."
1388,.ws,country-code,Government of Samoa Ministry of Foreign Affairs & Trade
1389,.wtc,generic,"World Trade Centers Association, Inc."
1390,.wtf,generic,"Binky Moon, LLC"
1391,.xbox,generic,Microsoft Corporation
1392,.xerox,generic,Xerox DNHC LLC
1393,.xfinity,generic,"Comcast IP Holdings I, LLC"
1394,.xihuan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1395,.xin,generic,Elegant Leader Limited
1396,.测试,test,Internet Assigned Numbers Authority
1397,.कॉम,generic,VeriSign Sarl
1398,.परीक्षा,test,Internet Assigned Numbers Authority
1399,.セール,generic,"Amazon Registry Services, Inc."
1400,.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1401,.ಭಾರತ,country-code,National Internet eXchange of India
1402,.慈善,generic,Excellent First Limited
1403,.集团,generic,Eagle Horizon Limited
1404,.在线,generic,TLD REGISTRY LIMITED
1405,.한국,country-code,KISA (Korea Internet & Security Agency)
1406,.ଭାରତ,country-code,National Internet eXchange of India
1407,.大众汽车,generic,Not assigned
1408,.点看,generic,VeriSign Sarl
1409,.คอม,generic,VeriSign Sarl
1410,.ভাৰত,country-code,National Internet eXchange of India
1411,.ভারত,country-code,National Internet Exchange of India
1412,.八卦,generic,Zodiac Gemini Ltd
1413,‏.ישראל‎,country-code,The Israel Internet Association (RA)
1414,‏.موقع‎,generic,Helium TLDs Ltd
1415,.বাংলা,country-code,Posts and Telecommunications Division
1416,.公益,generic,China Organizational Name Administration Center
1417,.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
1418,.香格里拉,generic,Shangri‐La International Hotel Management Limited
1419,.网站,generic,Global Website TLD Asia Limited
1420,.移动,generic,Afilias Limited
1421,.我爱你,generic,Tycoon Treasure Limited
1422,.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
1423,.испытание,test,Internet Assigned Numbers Authority
